where	result	detail
校验报告.md:93 来源端口身份/ORE041	通过	结构、证据边界文字核对
校验报告.md:94 来源端口身份/ORE042	通过	结构、证据边界文字核对
校验报告.md:95 来源端口身份/ORE043	通过	结构、证据边界文字核对
校验报告.md:96 来源端口身份/ORE044	通过	结构、证据边界文字核对
校验报告.md:97 来源端口身份/ORE045	通过	结构、证据边界文字核对
校验报告.md:98 来源端口身份/ORE046	通过	结构、证据边界文字核对
校验报告.md:99 来源端口身份/ORE047	通过	结构、证据边界文字核对
校验报告.md:100 来源端口身份/ORE048	通过	结构、证据边界文字核对
校验报告.md:101 来源端口身份/ORE049	通过	结构、证据边界文字核对
校验报告.md:102 来源端口身份/ORE050	通过	结构、证据边界文字核对
校验报告.md:103 来源端口身份/ORE051	通过	结构、证据边界文字核对
校验报告.md:104 契约/送料身份/LF000	通过	结构、证据边界文字核对
校验报告.md:105 契约/送料引用/LF000	通过	结构、证据边界文字核对
校验报告.md:106 满速独占/计划标记/LF000	通过	逐LF满速标记
校验报告.md:107 契约/端口身份/LF000	通过	结构、证据边界文字核对
校验报告.md:108 端口速率/记录/LF000	通过	端口速率独立复算
校验报告.md:109 契约/实际速率/LF000	通过	结构、证据边界文字核对
校验报告.md:110 契约/运输占位/LF000	通过	结构、证据边界文字核对
校验报告.md:111 契约/送料身份/LF001	通过	结构、证据边界文字核对
校验报告.md:112 契约/送料引用/LF001	通过	结构、证据边界文字核对
校验报告.md:113 满速独占/计划标记/LF001	通过	逐LF满速标记
校验报告.md:114 契约/端口身份/LF001	通过	结构、证据边界文字核对
校验报告.md:115 端口速率/记录/LF001	通过	端口速率独立复算
校验报告.md:116 契约/实际速率/LF001	通过	结构、证据边界文字核对
校验报告.md:117 契约/运输占位/LF001	通过	结构、证据边界文字核对
